State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,29.17,Yamaha,FZ V3,"? 2,69,787.00",2022,646,Electric,95.65,Second,2023,Not Available,Individual,"? 1,73,078.76",Metro
Madhya Pradesh,45.65,Hero,HF Deluxe,"? 1,43,467.00",2023,151,Petrol,31.09,Second,2023,Expired,Individual,"? 1,01,240.49",Tier 2
Uttar Pradesh,33.98,TVS,NTorq 125,"? 96,480.00",2017,648,Hybrid,77.42,Second,2021,Not Available,Dealer,"? 56,022.88",Metro
Tamil Nadu,18.12,Yamaha,R15 V4,"? 3,67,986.00",2020,248,Electric,83.93,Second,2021,Active,Dealer,"? 2,73,519.68",Tier 2
Gujarat,17.48,Kawasaki,Vulcan S,"? 1,77,033.00",2019,482,Petrol,58.35,Third,2024,Active,Individual,"? 1,31,406.64",Tier 1
Rajasthan,25.74,TVS,Jupiter,"? 2,18,145.00",2016,643,Hybrid,65.22,Second,2023,Expired,Individual,"? 1,61,974.10",Tier 2
Rajasthan,79.18,TVS,NTorq 125,"? 1,33,793.00",2015,507,Electric,77.83,First,2015,Expired,Individual,"? 73,437.25",Tier 1
Uttar Pradesh,64.42,Yamaha,Ray ZR,"? 2,92,817.00",2021,828,Electric,70.73,First,2021,Expired,Individual,"? 1,49,668.49",Tier 3
West Bengal,29.76,Hero,Glamour,"? 74,456.00",2017,531,Petrol,25.56,Third,2023,Active,Dealer,"? 56,908.93",Tier 2
Punjab,42.60,Honda,Unicorn,"? 3,55,891.00",2020,687,Hybrid,93.85,First,2020,Expired,Individual,"? 1,58,365.89",Tier 1
Tamil Nadu,74.11,TVS,NTorq 125,"? 2,57,193.00",2019,434,Petrol,59.84,Second,2019,Expired,Dealer,"? 1,79,381.60",Metro
Rajasthan,79.00,KTM,390 Adventure,"? 71,253.00",2020,652,Hybrid,63.97,Third,2022,Active,Dealer,"? 42,173.59",Metro
Punjab,67.67,TVS,Ronin,"? 1,33,844.00",2024,617,Electric,63.25,Third,2024,Not Available,Dealer,"? 66,018.44",Tier 1
Gujarat,32.57,Bajaj,Platina 110,"? 95,632.00",2024,710,Electric,99.24,Second,2024,Not Available,Individual,"? 42,720.82",Tier 3
Maharashtra,32.87,Bajaj,Pulsar 150,"? 1,91,773.00",2023,828,Hybrid,98.66,First,2023,Expired,Individual,"? 1,40,421.62",Tier 1
Maharashtra,62.48,TVS,Ronin,"? 1,47,474.00",2023,755,Electric,78.21,Second,2024,Active,Individual,"? 1,05,865.07",Tier 2
Uttar Pradesh,41.44,Yamaha,R15 V4,"? 3,00,933.00",2021,696,Hybrid,65.1,First,2021,Expired,Dealer,"? 2,25,273.11",Metro
Gujarat,52.31,TVS,NTorq 125,"? 99,895.00",2016,893,Petrol,26.33,First,2016,Not Available,Dealer,"? 47,375.00",Tier 1
West Bengal,28.27,KTM,Duke 200,"? 2,17,205.00",2019,270,Hybrid,64.06,Second,2021,Not Available,Dealer,"? 1,41,079.28",Tier 3
Uttar Pradesh,75.79,Honda,Shine,"? 2,33,723.00",2016,660,Petrol,57.14,Second,2017,Active,Dealer,"? 1,29,260.78",Tier 3
Gujarat,46.83,Royal Enfield,Meteor 350,"? 83,677.00",2018,210,Petrol,26.01,Second,2023,Not Available,Dealer,"? 53,718.48",Tier 2
Tamil Nadu,41.97,Royal Enfield,Classic 350,"? 2,61,848.00",2016,637,Hybrid,99.08,Second,2016,Not Available,Dealer,"? 1,06,199.50",Tier 1
Uttar Pradesh,52.27,Kawasaki,Versys 650,"? 57,231.00",2015,435,Hybrid,93.59,Second,2021,Expired,Dealer,"? 43,829.89",Tier 1
Uttar Pradesh,47.40,Royal Enfield,Meteor 350,"? 1,85,536.00",2017,313,Electric,96.56,Second,2017,Not Available,Individual,"? 90,338.15",Tier 2
Madhya Pradesh,52.29,Yamaha,R15 V4,"? 91,984.00",2019,526,Hybrid,80.39,Third,2020,Expired,Individual,"? 37,749.25",Metro
Delhi,45.11,Honda,Dio,"? 82,114.00",2023,541,Petrol,36.83,Third,2023,Expired,Individual,"? 33,757.75",Tier 1
Gujarat,40.19,TVS,Sport,"? 2,14,316.00",2023,893,Hybrid,67.88,Third,2023,Active,Dealer,"? 1,61,265.41",Tier 3
Uttar Pradesh,17.75,Kawasaki,Ninja 400,"? 1,94,396.00",2021,268,Petrol,49.4,First,2021,Not Available,Individual,"? 1,11,751.02",Tier 2
Maharashtra,24.39,TVS,Apache RTR 160,"? 3,98,017.00",2015,510,Hybrid,86.93,Second,2018,Active,Dealer,"? 2,08,424.27",Tier 3
Tamil Nadu,5.01,Honda,Shine,"? 2,52,763.00",2019,235,Petrol,58.71,Third,2022,Not Available,Dealer,"? 1,91,177.64",Tier 1
Rajasthan,13.83,TVS,Sport,"? 1,05,989.00",2024,397,Electric,69.45,Third,2024,Expired,Individual,"? 73,023.48",Tier 1
Madhya Pradesh,29.36,Hero,Glamour,"? 2,27,568.00",2022,105,Electric,87.57,Third,2022,Not Available,Dealer,"? 1,48,291.88",Metro
Delhi,50.37,KTM,RC 390,"? 1,97,036.00",2016,986,Hybrid,71.9,Second,2020,Not Available,Dealer,"? 1,04,145.28",Tier 3
Tamil Nadu,66.35,Kawasaki,Ninja 300,"? 3,63,149.00",2016,464,Hybrid,92.06,Third,2018,Expired,Individual,"? 2,06,857.80",Tier 3
West Bengal,42.56,Honda,Unicorn,"? 3,35,346.00",2023,869,Hybrid,71.46,Second,2024,Active,Dealer,"? 2,48,193.98",Tier 2
Rajasthan,12.34,Bajaj,Pulsar 150,"? 2,96,836.00",2021,983,Hybrid,99.9,First,2021,Not Available,Individual,"? 1,30,167.29",Tier 1
Tamil Nadu,12.59,Bajaj,Avenger 220,"? 3,23,235.00",2024,158,Electric,93.36,Second,2024,Not Available,Individual,"? 1,65,176.17",Tier 3
Tamil Nadu,41.75,Yamaha,FZ V3,"? 2,51,858.00",2024,193,Hybrid,92.66,First,2024,Active,Individual,"? 1,85,017.03",Tier 1
Rajasthan,52.51,Yamaha,R15 V4,"? 1,03,906.00",2024,605,Petrol,46.27,First,2024,Not Available,Individual,"? 47,612.58",Metro
Madhya Pradesh,60.79,TVS,Ronin,"? 1,22,641.00",2024,729,Electric,85.79,Third,2024,Not Available,Dealer,"? 96,164.51",Tier 2
West Bengal,28.50,Bajaj,Dominar 400,"? 3,86,215.00",2017,445,Petrol,26.09,Third,2018,Active,Dealer,"? 2,45,041.18",Tier 1
West Bengal,37.54,TVS,Sport,"? 3,85,671.00",2019,369,Hybrid,93.74,Second,2024,Active,Dealer,"? 2,29,843.47",Tier 2
West Bengal,71.47,TVS,Ronin,"? 2,80,350.00",2022,817,Petrol,34.37,Second,2024,Expired,Individual,"? 1,17,145.83",Tier 3
Uttar Pradesh,26.27,Bajaj,Avenger 220,"? 1,00,854.00",2016,615,Petrol,35.58,Third,2019,Expired,Individual,"? 74,877.79",Tier 1
Madhya Pradesh,70.90,TVS,Sport,"? 99,577.00",2015,169,Hybrid,94.67,First,2015,Not Available,Dealer,"? 57,421.87",Tier 1
Punjab,62.97,Bajaj,Pulsar 150,"? 3,09,441.00",2020,715,Electric,86.06,First,2020,Active,Individual,"? 1,99,917.17",Tier 2
Delhi,65.75,Royal Enfield,Interceptor 650,"? 2,73,997.00",2022,209,Petrol,58.73,Second,2023,Active,Individual,"? 2,15,428.56",Tier 2
Delhi,47.80,Honda,Unicorn,"? 2,59,385.00",2022,195,Electric,93.35,First,2022,Expired,Individual,"? 1,97,760.05",Tier 2
Punjab,36.81,Hero,Splendor Plus,"? 79,908.00",2023,971,Petrol,54.43,Third,2023,Not Available,Individual,"? 54,363.32",Tier 3
Karnataka,35.39,TVS,Apache RTR 160,"? 3,85,822.00",2019,765,Petrol,42.97,First,2019,Active,Dealer,"? 2,09,566.70",Tier 2
Gujarat,24.81,Hero,HF Deluxe,"? 1,61,105.00",2023,105,Hybrid,86.61,First,2023,Expired,Individual,"? 91,744.22",Tier 1
Uttar Pradesh,26.88,Bajaj,Avenger 220,"? 2,14,030.00",2016,176,Petrol,52.02,Third,2018,Not Available,Dealer,"? 91,233.30",Tier 2
West Bengal,43.79,KTM,390 Adventure,"? 3,25,963.00",2022,375,Hybrid,64.4,Second,2022,Expired,Dealer,"? 1,57,743.79",Tier 1
West Bengal,55.91,Honda,Dio,"? 1,36,156.00",2016,579,Petrol,31.95,First,2016,Active,Dealer,"? 65,576.03",Tier 3
Punjab,44.70,Hero,Glamour,"? 1,98,786.00",2019,542,Petrol,29.49,First,2019,Expired,Individual,"? 1,45,261.54",Tier 2
Uttar Pradesh,13.58,Hero,Xtreme 160R,"? 2,50,462.00",2015,647,Electric,88.97,Third,2017,Not Available,Individual,"? 1,15,865.15",Tier 1
West Bengal,11.01,TVS,Ronin,"? 2,36,303.00",2021,877,Petrol,53.11,Third,2023,Active,Individual,"? 1,03,242.42",Tier 3
Karnataka,32.64,Honda,Shine,"? 3,36,638.00",2017,575,Hybrid,70.37,Third,2021,Not Available,Individual,"? 2,38,462.12",Tier 3
Madhya Pradesh,39.46,TVS,NTorq 125,"? 2,92,002.00",2016,277,Electric,82.5,Second,2019,Active,Dealer,"? 2,15,862.87",Tier 3
West Bengal,48.16,Yamaha,Fascino 125,"? 1,40,993.00",2022,382,Hybrid,77.81,Third,2022,Not Available,Individual,"? 96,056.57",Tier 3
Punjab,30.35,Bajaj,Avenger 220,"? 91,498.00",2018,973,Electric,61.28,Third,2020,Active,Dealer,"? 46,132.61",Metro
Tamil Nadu,22.58,Yamaha,FZ V3,"? 65,569.00",2015,169,Hybrid,73.29,First,2015,Active,Individual,"? 35,079.40",Tier 3
Karnataka,60.74,KTM,390 Adventure,"? 61,526.00",2016,598,Electric,81.38,Second,2022,Not Available,Individual,"? 27,992.34",Metro
Tamil Nadu,20.63,Honda,Shine,"? 1,46,308.00",2019,808,Hybrid,83.77,Second,2022,Not Available,Dealer,"? 80,884.08",Tier 2
Tamil Nadu,8.92,Yamaha,Fascino 125,"? 3,26,280.00",2017,837,Hybrid,88.88,Second,2023,Expired,Individual,"? 2,03,791.95",Tier 3
Maharashtra,23.12,Yamaha,FZ V3,"? 1,16,504.00",2017,699,Hybrid,90.02,Third,2022,Expired,Individual,"? 53,430.47",Tier 2
Karnataka,31.27,TVS,Apache RTR 160,"? 2,24,917.00",2016,454,Petrol,27.28,Third,2024,Expired,Dealer,"? 1,03,546.72",Tier 3
Tamil Nadu,76.53,Bajaj,Avenger 220,"? 66,953.00",2015,692,Petrol,46.34,Third,2018,Active,Individual,"? 40,528.90",Tier 1
Tamil Nadu,68.73,Kawasaki,Ninja 300,"? 2,39,548.00",2015,998,Petrol,33.1,Third,2021,Not Available,Individual,"? 1,53,335.69",Tier 2
Madhya Pradesh,56.35,TVS,Ronin,"? 1,01,199.00",2018,230,Electric,90.48,First,2018,Expired,Individual,"? 66,574.27",Metro
Madhya Pradesh,59.34,TVS,Apache RTR 160,"? 3,56,435.00",2024,662,Electric,65.06,Third,2024,Not Available,Dealer,"? 2,50,941.57",Tier 2
Punjab,75.51,Yamaha,R15 V4,"? 3,63,271.00",2024,612,Petrol,29.12,First,2024,Active,Individual,"? 1,82,952.79",Metro
Maharashtra,56.70,Kawasaki,Ninja 300,"? 3,75,575.00",2015,530,Petrol,42.98,First,2015,Not Available,Dealer,"? 2,91,922.32",Metro
Gujarat,30.39,Kawasaki,Versys 650,"? 1,30,472.00",2017,857,Hybrid,63.08,First,2017,Expired,Dealer,"? 67,273.42",Tier 1
Karnataka,74.59,Yamaha,Ray ZR,"? 3,96,806.00",2018,954,Petrol,54.56,First,2018,Not Available,Dealer,"? 1,74,047.20",Tier 2
Delhi,58.04,TVS,Sport,"? 75,299.00",2018,484,Petrol,30.61,First,2018,Active,Dealer,"? 59,021.80",Tier 1
Maharashtra,13.42,Honda,Unicorn,"? 1,55,436.00",2024,133,Petrol,51.53,Third,2024,Active,Dealer,"? 1,09,227.11",Tier 2
Tamil Nadu,9.38,TVS,Apache RTR 160,"? 1,42,576.00",2016,705,Petrol,31.41,Second,2021,Not Available,Individual,"? 77,826.08",Metro
Karnataka,22.43,Honda,CBR 650R,"? 2,07,485.00",2015,133,Electric,62.38,First,2015,Active,Individual,"? 1,16,449.30",Tier 1
Delhi,64.54,Bajaj,Pulsar 150,"? 3,95,607.00",2022,136,Hybrid,91.96,First,2022,Not Available,Dealer,"? 2,89,590.78",Metro
Delhi,55.63,Bajaj,CT 100,"? 3,20,670.00",2023,425,Hybrid,70.59,Third,2024,Expired,Individual,"? 1,54,994.96",Metro
Uttar Pradesh,56.01,Honda,Activa,"? 3,64,901.00",2021,105,Hybrid,70.45,Third,2021,Expired,Dealer,"? 2,05,957.55",Metro
Delhi,59.65,Kawasaki,Z650,"? 3,20,388.00",2022,680,Electric,65.63,First,2022,Not Available,Individual,"? 1,39,114.13",Tier 1
Tamil Nadu,57.46,Bajaj,Dominar 400,"? 3,07,685.00",2021,787,Petrol,26.19,First,2021,Active,Individual,"? 1,35,348.28",Metro
Maharashtra,12.21,Kawasaki,Ninja 400,"? 1,25,721.00",2021,256,Petrol,51.54,First,2021,Expired,Individual,"? 87,080.18",Tier 3
Tamil Nadu,31.13,KTM,250 Duke,"? 1,20,785.00",2016,842,Electric,60.76,Third,2018,Expired,Dealer,"? 58,524.42",Tier 1
Rajasthan,68.86,TVS,Apache RTR 160,"? 3,22,805.00",2020,274,Electric,69.06,Third,2021,Not Available,Dealer,"? 1,79,197.10",Metro
Maharashtra,40.26,Honda,Activa,"? 2,78,177.00",2022,520,Hybrid,87.52,First,2022,Not Available,Individual,"? 1,83,999.58",Tier 1
Madhya Pradesh,56.33,Yamaha,MT-15,"? 3,76,238.00",2017,827,Hybrid,74.64,Second,2021,Not Available,Dealer,"? 2,92,050.90",Tier 2
Maharashtra,58.88,TVS,Jupiter,"? 2,03,805.00",2015,979,Electric,60.96,Second,2022,Active,Dealer,"? 1,41,970.73",Tier 2
Madhya Pradesh,38.92,TVS,NTorq 125,"? 3,76,543.00",2020,718,Hybrid,65.83,First,2020,Active,Dealer,"? 2,12,871.29",Metro
Gujarat,42.76,Bajaj,Dominar 400,"? 3,93,995.00",2018,293,Hybrid,68.7,Third,2020,Expired,Dealer,"? 2,19,346.47",Tier 1
Madhya Pradesh,71.06,Royal Enfield,Hunter 350,"? 2,52,320.00",2023,807,Electric,81.94,Second,2023,Active,Individual,"? 1,20,037.48",Tier 3
Tamil Nadu,33.77,Bajaj,CT 100,"? 1,21,087.00",2022,151,Petrol,37.81,Second,2023,Expired,Individual,"? 55,965.10",Tier 2
Punjab,36.19,KTM,250 Duke,"? 2,75,695.00",2015,617,Hybrid,90.42,Third,2015,Not Available,Individual,"? 2,01,257.80",Tier 2
Punjab,38.31,KTM,RC 390,"? 3,40,454.00",2016,103,Hybrid,66.65,Second,2019,Expired,Individual,"? 2,62,394.28",Tier 3
Gujarat,34.94,Yamaha,Fascino 125,"? 1,41,000.00",2015,593,Electric,72.83,Third,2019,Expired,Dealer,"? 81,853.75",Tier 2
Maharashtra,48.08,Yamaha,Fascino 125,"? 3,20,003.00",2019,380,Hybrid,66.92,First,2019,Not Available,Individual,"? 2,05,911.58",Tier 2
Madhya Pradesh,41.71,TVS,Sport,"? 3,79,513.00",2019,593,Petrol,44.83,Third,2022,Not Available,Dealer,"? 2,39,699.49",Tier 3
Maharashtra,19.62,Bajaj,CT 100,"? 1,35,697.00",2020,519,Petrol,30.18,Second,2020,Expired,Individual,"? 57,333.52",Tier 1
Tamil Nadu,17.72,Yamaha,FZ V3,"? 2,22,167.00",2019,670,Hybrid,80.82,Third,2024,Expired,Dealer,"? 1,44,576.81",Tier 1
Maharashtra,37.90,Kawasaki,Ninja 300,"? 91,212.00",2020,765,Petrol,37.22,Second,2023,Not Available,Dealer,"? 61,811.90",Tier 2
Rajasthan,35.83,Kawasaki,Ninja 400,"? 2,03,537.00",2024,395,Petrol,46.35,First,2024,Active,Dealer,"? 87,374.49",Tier 3
Uttar Pradesh,46.01,Hero,Passion Pro,"? 2,21,366.00",2021,548,Hybrid,65.05,Third,2024,Active,Dealer,"? 1,43,221.15",Metro
Uttar Pradesh,38.37,Kawasaki,Ninja 300,"? 1,34,073.00",2024,513,Petrol,49.64,Third,2024,Active,Individual,"? 59,613.59",Tier 3
Tamil Nadu,57.96,KTM,250 Duke,"? 3,32,860.00",2018,948,Petrol,36.24,Second,2023,Active,Dealer,"? 2,13,065.80",Tier 2
Punjab,42.28,Bajaj,Avenger 220,"? 77,951.00",2024,351,Electric,78.87,Third,2024,Active,Individual,"? 58,220.21",Tier 3
West Bengal,50.98,TVS,Ronin,"? 1,19,946.00",2021,893,Electric,76.14,First,2021,Not Available,Dealer,"? 70,010.31",Tier 3
Rajasthan,72.95,Yamaha,Ray ZR,"? 1,61,061.00",2016,785,Electric,93.42,First,2016,Not Available,Individual,"? 79,906.81",Metro
Uttar Pradesh,45.25,Kawasaki,Ninja 300,"? 2,11,015.00",2015,899,Hybrid,83.06,Third,2022,Expired,Individual,"? 1,32,101.72",Tier 2
West Bengal,10.98,TVS,Sport,"? 2,72,377.00",2021,536,Electric,88.46,Third,2021,Not Available,Individual,"? 1,94,324.61",Metro
Delhi,66.80,Royal Enfield,Interceptor 650,"? 51,819.00",2015,658,Hybrid,89.99,First,2015,Not Available,Dealer,"? 40,071.87",Tier 2
Delhi,57.79,Royal Enfield,Hunter 350,"? 1,33,542.00",2024,965,Hybrid,60.26,First,2024,Expired,Dealer,"? 74,939.98",Tier 2
Gujarat,25.09,KTM,RC 390,"? 3,89,950.00",2019,401,Hybrid,72.65,Third,2023,Active,Individual,"? 2,35,149.64",Tier 3
West Bengal,65.63,Bajaj,CT 100,"? 1,34,121.00",2024,401,Petrol,32.55,Third,2024,Expired,Dealer,"? 78,547.55",Metro
Madhya Pradesh,35.62,Honda,Activa,"? 2,23,597.00",2016,322,Electric,85.05,First,2016,Active,Dealer,"? 1,58,829.93",Metro
Maharashtra,18.16,Yamaha,R15 V4,"? 2,15,325.00",2020,174,Hybrid,79.2,Third,2020,Not Available,Individual,"? 1,00,173.90",Tier 3
Madhya Pradesh,44.41,TVS,Apache RTR 160,"? 2,61,298.00",2016,294,Electric,72.19,Third,2021,Expired,Dealer,"? 1,62,383.27",Tier 3
Gujarat,68.59,Yamaha,R15 V4,"? 3,48,441.00",2017,583,Electric,64.86,Third,2017,Active,Individual,"? 2,29,069.06",Tier 2
Rajasthan,47.89,Yamaha,R15 V4,"? 52,332.00",2019,453,Electric,97.15,Third,2024,Not Available,Dealer,"? 34,387.40",Tier 3
Uttar Pradesh,10.00,Honda,Shine,"? 3,42,869.00",2018,479,Electric,77.72,Second,2023,Not Available,Individual,"? 2,40,583.32",Tier 1
Tamil Nadu,12.15,Hero,Passion Pro,"? 1,78,709.00",2019,406,Electric,83,Second,2021,Active,Dealer,"? 1,26,289.57",Tier 3
Madhya Pradesh,37.69,Hero,Splendor Plus,"? 3,04,466.00",2015,930,Electric,99.83,First,2015,Expired,Dealer,"? 1,77,765.68",Tier 2
Maharashtra,25.52,KTM,250 Duke,"? 3,40,286.00",2018,438,Electric,65.19,Second,2021,Active,Individual,"? 1,63,750.28",Tier 1
Karnataka,78.02,Kawasaki,Z650,"? 2,97,335.00",2015,835,Electric,64.72,Second,2020,Not Available,Dealer,"? 1,28,081.71",Tier 2
Delhi,54.79,KTM,125 Duke,"? 2,96,622.00",2021,453,Hybrid,63.06,Third,2021,Active,Individual,"? 1,32,567.49",Tier 3
Punjab,61.73,Bajaj,Dominar 400,"? 1,59,344.00",2015,128,Electric,93.49,First,2015,Not Available,Dealer,"? 80,211.84",Tier 2
Rajasthan,77.65,Bajaj,CT 100,"? 2,41,907.00",2024,530,Hybrid,77.05,First,2024,Not Available,Individual,"? 1,44,021.70",Tier 2
Delhi,79.21,Hero,Passion Pro,"? 1,98,952.00",2021,816,Petrol,49.02,First,2021,Active,Individual,"? 1,03,419.59",Metro
Maharashtra,56.15,TVS,Jupiter,"? 1,64,488.00",2021,670,Electric,65.26,Second,2023,Active,Individual,"? 1,24,264.09",Tier 2
Uttar Pradesh,16.10,Royal Enfield,Interceptor 650,"? 1,67,254.00",2020,109,Electric,84.15,Second,2021,Not Available,Dealer,"? 1,29,455.70",Metro
Tamil Nadu,72.23,Kawasaki,Z650,"? 1,55,574.00",2024,840,Petrol,49.8,Second,2024,Expired,Individual,"? 1,21,376.15",Tier 1
West Bengal,38.20,Yamaha,Fascino 125,"? 1,96,186.00",2023,519,Petrol,35.81,First,2023,Active,Dealer,"? 83,122.39",Metro
Rajasthan,33.62,TVS,Apache RTR 160,"? 3,05,039.00",2017,539,Electric,83.44,First,2017,Expired,Dealer,"? 2,15,505.69",Metro
West Bengal,73.16,Royal Enfield,Meteor 350,"? 3,95,649.00",2017,999,Petrol,41,Third,2021,Expired,Dealer,"? 2,65,851.43",Tier 3
Punjab,48.46,Kawasaki,Vulcan S,"? 3,69,820.00",2019,654,Electric,89.35,First,2019,Not Available,Individual,"? 2,46,408.54",Metro
Tamil Nadu,71.63,KTM,Duke 200,"? 3,20,626.00",2022,270,Petrol,46.57,Third,2023,Not Available,Dealer,"? 1,56,453.23",Tier 1
Maharashtra,76.24,TVS,Jupiter,"? 59,238.00",2019,613,Electric,74.92,Second,2021,Not Available,Dealer,"? 23,956.86",Tier 1
Punjab,63.97,Hero,Passion Pro,"? 3,29,516.00",2017,485,Petrol,43.94,Third,2022,Not Available,Dealer,"? 1,55,553.74",Tier 1
Madhya Pradesh,71.65,KTM,390 Adventure,"? 3,56,130.00",2020,272,Electric,84.67,Third,2020,Active,Individual,"? 2,33,134.59",Tier 2
Delhi,39.74,Royal Enfield,Hunter 350,"? 1,12,752.00",2019,982,Petrol,43.97,First,2019,Active,Dealer,"? 81,759.61",Tier 2
Madhya Pradesh,72.93,Honda,Unicorn,"? 2,84,450.00",2019,309,Electric,93.55,Third,2019,Not Available,Dealer,"? 1,67,439.48",Tier 3
Gujarat,72.36,Hero,HF Deluxe,"? 1,39,577.00",2018,225,Petrol,35.75,Third,2020,Expired,Individual,"? 76,341.38",Tier 2
Delhi,18.32,Yamaha,MT-15,"? 78,965.00",2017,291,Petrol,40.01,First,2017,Not Available,Individual,"? 38,817.63",Tier 3
